OPL SKU,Qty,Parts
0440210P1,1,Q1
0100020P1,2,C4 C8
0100020P1,3,C16 C17 C20
0900390P1,2,F1 F2
0010070P1,20,R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24
0011240P1,7,R3 R4 R25 R29 R38 R39 R40
0100350P1,1,C18
0100080P1,2,C6 C19
0011090P1,3,R27 R34 R35
0300040P1,1,D3
0130240P1,2,C2 C7
0130360P1,1,C5
0130360P1,2,C1 C3
0010430P1,1,R28
0010600P1,7,R26 R30 R31 R32 R33 R36 R37
0900120P1,2,L1 L2
3100060P1,2,K3 K4
1310190P1,1,U4
1310170P1,1,U3
1320040P1,1,U1
3460510P1,2,J2 J3
1720010P1,1,U5
0330010P1,5,D4 D5 D6 D7 D9
3410020P1,1,J1
3410050P1,1,J5
3300060P1,1,J4
3400150P1,1,J6
0330020P1,1,D8
0310130P1,4,D2 D10 D11 D14
0330050P1,3,D1 D12 D13
